fixtureId,competitionTier,season,round,homeId,awayId,teamId,shirtNumber,playerName,event,time
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
,TIER_ONE,2018,,,,,,,,
